,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
0,1,Antonio Brown*+,PIT,26,WR,16,16,181,129,71.30%,1698,13.2,13,87,63,9.4,8.1,106.1,2,2014
1,2,Demaryius Thomas*,DEN,27,WR,16,16,184,111,60.30%,1619,14.6,11,69,86,8.8,6.9,101.2,0,2014
2,3,Julio Jones*,ATL,25,WR,15,15,163,104,63.80%,1593,15.3,6,76,79,9.8,6.9,106.2,2,2014
3,4,Matt Forte,CHI,29,RB,16,16,130,102,78.50%,808,7.9,4,28,56,6.2,6.4,50.5,2,2014
4,5,Emmanuel Sanders*,DEN,27,WR,16,16,141,101,71.60%,1404,13.9,9,69,48,10.0,6.3,87.8,1,2014
5,6,Golden Tate*,DET,26,WR,16,16,144,99,68.80%,1331,13.4,4,61,73,9.2,6.2,83.2,1,2014
6,7,Jordy Nelson*,GNB,29,WR,16,16,151,98,64.90%,1519,15.5,13,71,80,10.1,6.1,94.9,0,2014
7,8,Julian Edelman,NWE,28,WR,14,13,134,92,68.70%,972,10.6,4,50,69,7.3,6.6,69.4,5,2014
8,9,Odell Beckham*,NYG,22,WR,12,11,130,91,70.00%,1305,14.3,12,58,80,10.0,7.6,108.8,1,2014
9,10,Randall Cobb*,GNB,24,WR,16,16,127,91,71.70%,1287,14.1,12,71,70,10.1,5.7,80.4,4,2014
10,11,Martellus Bennett*,CHI,27,TE,16,15,128,90,70.30%,916,10.2,6,43,37,7.2,5.6,57.3,0,2014
11,12,Dez Bryant*+,DAL,26,WR,16,16,136,88,64.70%,1320,15.0,16,60,68,9.7,5.5,82.5,1,2014
12,13,Jimmy Graham*,NOR,28,TE,16,13,125,85,68.00%,889,10.5,10,54,29,7.1,5.3,55.6,2,2014
13,14,Alshon Jeffery,CHI,24,WR,16,16,145,85,58.60%,1133,13.3,10,60,74,7.8,5.3,70.8,1,2014
14,15,Andre Johnson,HOU,33,WR,15,15,146,85,58.20%,936,11.0,3,50,35,6.4,5.7,62.4,3,2014
15,16,Jeremy Maclin,PHI,26,WR,16,16,143,85,59.40%,1318,15.5,10,56,72,9.2,5.3,82.4,0,2014
16,17,Jarvis Landry,MIA,22,WR,16,11,112,84,75.00%,758,9.0,5,50,25,6.8,5.3,47.4,7,2014
17,18,Greg Olsen*,CAR,29,TE,16,16,123,84,68.30%,1008,12.0,6,55,38,8.2,5.3,63.0,1,2014
18,19,Le'Veon Bell*+,PIT,22,RB,16,16,105,83,79.00%,854,10.3,3,41,48,8.1,5.2,53.4,0,2014
19,20,Anquan Boldin,SFO,34,WR,16,16,130,83,63.80%,1062,12.8,5,56,76,8.2,5.2,66.4,0,2014
20,21,Rob Gronkowski*+,NWE,25,TE,15,10,131,82,62.60%,1124,13.7,12,60,46,8.6,5.5,74.9,0,2014
21,22,T.Y. Hilton*,IND,25,WR,15,15,131,82,62.60%,1345,16.4,7,64,73,10.3,5.5,89.7,3,2014
22,23,Roddy White,ATL,33,WR,14,14,125,80,64.00%,921,11.5,7,55,39,7.4,5.7,65.8,3,2014
23,24,Steve Smith,BAL,35,WR,16,16,134,79,59.00%,1065,13.5,6,45,80,7.9,4.9,66.6,1,2014
24,25,Keenan Allen,SDG,22,WR,14,14,121,77,63.60%,783,10.2,4,41,35,6.5,5.5,55.9,2,2014
25,26,DeAndre Hopkins,HOU,22,WR,16,16,127,76,59.80%,1210,15.9,6,57,76,9.5,4.8,75.6,2,2014
26,27,Eric Decker,NYJ,27,WR,15,15,115,74,64.30%,962,13.0,5,47,74,8.4,4.9,64.1,0,2014
27,28,Brandon LaFell,NWE,28,WR,16,13,119,74,62.20%,953,12.9,7,50,56,8.0,4.6,59.6,1,2014
28,29,Kelvin Benjamin,CAR,23,WR,16,15,145,73,50.30%,1008,13.8,9,52,51,7.0,4.6,63.0,1,2014
29,30,James Jones,OAK,30,WR,16,10,112,73,65.20%,666,9.1,6,40,42,5.9,4.6,41.6,3,2014
30,31,Calvin Johnson*,DET,29,WR,13,13,128,71,55.50%,1077,15.2,8,59,67,8.4,5.5,82.8,0,2014
31,32,Rueben Randle,NYG,23,WR,16,13,127,71,55.90%,938,13.2,3,48,49,7.4,4.4,58.6,0,2014
32,33,Vincent Jackson,TAM,31,WR,16,16,142,70,49.30%,1002,14.3,2,50,50,7.1,4.4,62.6,1,2014
33,34,Antonio Gates,SDG,34,TE,16,14,98,69,70.40%,821,11.9,12,44,34,8.4,4.3,51.3,1,2014
34,35,A.J. Green*,CIN,26,WR,13,13,117,69,59.00%,1041,15.1,6,46,81,8.9,5.3,80.1,3,2014
35,36,Michael Crabtree,SFO,27,WR,16,16,108,68,63.00%,698,10.3,4,35,51,6.5,4.3,43.6,0,2014
36,37,Mike Evans,TAM,21,WR,15,15,122,68,55.70%,1051,15.5,12,46,56,8.6,4.5,70.1,0,2014
37,38,Pierre Garcon,WAS,28,WR,16,14,105,68,64.80%,752,11.1,3,33,70,7.2,4.3,47.0,0,2014
38,39,Travis Kelce,KAN,25,TE,16,11,87,67,77.00%,862,12.9,5,46,34,9.9,4.2,53.9,4,2014
39,40,Jordan Matthews,PHI,22,WR,16,10,103,67,65.00%,872,13.0,8,43,44,8.5,4.2,54.5,0,2014
40,41,Mike Wallace,MIA,28,WR,16,16,115,67,58.30%,862,12.9,10,47,50,7.5,4.2,53.9,2,2014
41,42,Doug Baldwin,SEA,26,WR,16,16,98,66,67.30%,825,12.5,3,43,49,8.4,4.1,51.6,1,2014
42,43,Fred Jackson,BUF,33,RB,14,9,90,66,73.30%,501,7.6,1,26,34,5.6,4.7,35.8,5,2014
43,44,Heath Miller,PIT,32,TE,16,16,91,66,72.50%,761,11.5,3,43,49,8.4,4.1,47.6,2,2014
44,45,Sammy Watkins,BUF,21,WR,16,16,128,65,50.80%,982,15.1,6,48,84,7.7,4.1,61.4,1,2014
45,46,Robert Woods,BUF,22,WR,16,15,104,65,62.50%,699,10.8,5,35,37,6.7,4.1,43.7,1,2014
